  For t = 3632, found 64 pairs
  For t = 3724, found 328 pairs
  For t = 3725, found 120 pairs
  For t = 3817, found 274 pairs
  For t = 3818, found 160 pairs
  For t = 3910, found 144 pairs
  For t = 3911, found 242 pairs
  For t = 4003, found 180 pairs
  For t = 4004, found 320 pairs
  For t = 4096, found 70 pairs
  For t = 4097, found 364 pairs
  For t = 4189, found 18 pairs
  For t = 4190, found 459 pairs
  For t = 4283, found 464 pairs
  For t = 4284, found 40 pairs
  For t = 4376, found 362 pairs
  For t = 4377, found 108 pairs
  For t = 4469, found 301 pairs
  For t = 4470, found 166 pairs
  For t = 4562, found 248 pairs
  For t = 4563, found 246 pairs
  For t = 4655, found 184 pairs
  For t = 4656, found 284 pairs
  For t = 4748, found 136 pairs
  For t = 4749, found 336 pairs
  For t = 4841, found 54 pairs
  For t = 4842, found 440 pairs
  For t = 4935, found 458 pairs
  For t = 4936, found 4 pairs
  For t = 5028, found 400 pairs
  For t = 5029, found 66 pairs
  For t = 5121, found 343 pairs
  For t = 5122, found 122 pairs
  For t = 5214, found 252 pairs
  For t = 5215, found 214 pairs
  For t = 5307, found 200 pairs
  For t = 5308, found 256 pairs
  For t = 5400, found 176 pairs
  For t = 5401, found 305 pairs
  For t = 5493, found 92 pairs
  For t = 5494, found 382 pairs
  For t = 5586, found 42 pairs
  For t = 5587, found 403 pairs
  For t = 5680, found 422 pairs
  For t = 5681, found 34 pairs
  For t = 5773, found 366 pairs
  For t = 5774, found 104 pairs
  For t = 5866, found 319 pairs
  For t = 5867, found 146 pairs
  For t = 5959, found 274 pairs
  For t = 5960, found 220 pairs
  For t = 6052, found 200 pairs
  For t = 6053, found 338 pairs
  For t = 6145, found 178 pairs
  For t = 6146, found 306 pairs
  For t = 6238, found 68 pairs
  For t = 6239, found 420 pairs
  For t = 6332, found 496 pairs
  For t = 6425, found 385 pairs
  For t = 6426, found 52 pairs
  For t = 6518, found 332 pairs
  For t = 6519, found 110 pairs
  For t = 6611, found 308 pairs
  For t = 6612, found 170 pairs
  For t = 6704, found 244 pairs
  For t = 6705, found 264 pairs
  For t = 6797, found 146 pairs
  For t = 6798, found 332 pairs
  For t = 6890, found 78 pairs
  For t = 6891, found 406 pairs
  For t = 6983, found 34 pairs
  For t = 6984, found 470 pairs
  For t = 7077, found 449 pairs
  For t = 7078, found 16 pairs
  For t = 7170, found 438 pairs
  For t = 7171, found 78 pairs
  For t = 7263, found 282 pairs
  For t = 7264, found 146 pairs
  For t = 7356, found 224 pairs
  For t = 7357, found 166 pairs
  For t = 7449, found 236 pairs
  For t = 7450, found 254 pairs
  For t = 7542, found 118 pairs
  For t = 7543, found 362 pairs
  For t = 7635, found 66 pairs
  For t = 7636, found 376 pairs
  For t = 7728, found 6 pairs
  For t = 7729, found 448 pairs
  For t = 7822, found 416 pairs
  For t = 7823, found 70 pairs
  For t = 7915, found 319 pairs
  For t = 7916, found 120 pairs
  For t = 8008, found 278 pairs
  For t = 8009, found 160 pairs
  For t = 8101, found 232 pairs
  For t = 8102, found 256 pairs
  For t = 8194, found 136 pairs
  For t = 8195, found 270 pairs
  For t = 8287, found 114 pairs
  For t = 8288, found 368 pairs
  For t = 8380, found 52 pairs
  For t = 8381, found 441 pairs
  For t = 8474, found 452 pairs
  For t = 8475, found 16 pairs
  For t = 8567, found 346 pairs
  For t = 8568, found 92 pairs
  For t = 8660, found 316 pairs
  For t = 8661, found 114 pairs
  For t = 8753, found 284 pairs
  For t = 8754, found 198 pairs
  For t = 8846, found 226 pairs
  For t = 8847, found 285 pairs
  For t = 8939, found 144 pairs
  For t = 8940, found 312 pairs
  For t = 9032, found 78 pairs
  For t = 9033, found 370 pairs
  For t = 9125, found 10 pairs
  For t = 9126, found 436 pairs
  For t = 9219, found 414 pairs
  For t = 9220, found 42 pairs
  For t = 9312, found 344 pairs
  For t = 9313, found 102 pairs
  For t = 9405, found 310 pairs
  For t = 9406, found 150 pairs
  For t = 9498, found 238 pairs
  For t = 9499, found 252 pairs
  For t = 9591, found 190 pairs
  For t = 9592, found 296 pairs
  For t = 9684, found 98 pairs
  For t = 9685, found 340 pairs
  For t = 9777, found 40 pairs
  For t = 9778, found 422 pairs
  For t = 9871, found 452 pairs
  For t = 9872, found 18 pairs
  For t = 9964, found 370 pairs
  For t = 9965, found 82 pairs
